dependent_variable,variables,R_squared,p-values,AIC
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.2871257911724334,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.7638441493531074e-19, 'Interest_Rate_Lag_20': 5.488569278974369e-34, 'Interest_Rate_Pct_Change_Lag_1': 1.1284724379546004e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.2602209904632349e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005905385488341525}",241167.12139501644
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20')",0.28703057395752873,"{'const': 0.0, 'Interest_Rate_Lag_5': 6.282476926357378e-31, 'Interest_Rate_Lag_20': 3.9772064916316727e-54}",241163.0698891098
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_20')",0.28690754149045095,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.1949035177135924e-21, 'Interest_Rate_Lag_20': 5.223707894840069e-37, 'Interest_Rate_Pct_Change_Lag_1': 1.1397622862880708e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.3402308330583324e-06}",241152.8542297479
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.28689722096170056,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.1967118476436358e-21, 'Interest_Rate_Lag_20': 5.229600679910197e-37, 'Interest_Rate_Pct_Change_Lag_5': 1.2730158532810196e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.3405404192810242e-06}",241153.06535914936
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5')",0.28675519342430167,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.1913321740705026e-21, 'Interest_Rate_Lag_20': 5.29826598407243e-37, 'Interest_Rate_Pct_Change_Lag_1': 1.1405739136635013e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.2736356298613006e-05}",241172.70372245306
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.2863350305661516,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.9883027169423742e-19, 'Interest_Rate_Lag_20': 5.876987430262771e-34, 'Interest_Rate_Pct_Change_Lag_10': 0.00597232332378465, 'Interest_Rate_Pct_Change_Lag_20': 1.3594463628812642e-06}",241164.56160151045
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10')",0.2861929418335257,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.9809446124847564e-19, 'Interest_Rate_Lag_20': 5.948562956023663e-34, 'Interest_Rate_Pct_Change_Lag_1': 1.1561866638086813e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005974575752418481}",241184.1997151145
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.2861826242490433,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.9831101415388474e-19, 'Interest_Rate_Lag_20': 5.954555421844897e-34, 'Interest_Rate_Pct_Change_Lag_5': 1.2911951624876807e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005975150102628697}",241184.41058743699
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_20')",0.285965016453645,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.3944776043596027e-21, 'Interest_Rate_Lag_20': 5.7353473009807535e-37, 'Interest_Rate_Pct_Change_Lag_20': 1.3745001177506722e-06}",241170.12308665703
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1')",0.28582291271416316,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.3886056432567206e-21, 'Interest_Rate_Lag_20': 5.810474270164809e-37, 'Interest_Rate_Pct_Change_Lag_1': 1.1685338961151593e-05}",241189.76052026826
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5')",0.2858125982649007,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.390566502431665e-21, 'Interest_Rate_Lag_20': 5.817006215469068e-37, 'Interest_Rate_Pct_Change_Lag_5': 1.3048820476706915e-05}",241189.97121929005
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10')",0.2852508757538259,"{'const': 0.0, 'Interest_Rate_Lag_10': 3.216489992552346e-19, 'Interest_Rate_Lag_20': 6.45157672754908e-34, 'Interest_Rate_Pct_Change_Lag_10': 0.006044879655574192}",241201.44124610675
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20')",0.28488141729118377,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.6049032471646003e-21, 'Interest_Rate_Lag_20': 6.377080418407832e-37}",241206.98044655897
Close,"('Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.2842592051502618,"{'const': 0.0, 'Interest_Rate_Lag_20': 0.0, 'Interest_Rate_Pct_Change_Lag_1': 1.194025383826116e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.3327571030456108e-05, 'Interest_Rate_Pct_Change_Lag_10': 3.3960445055514117e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.401382821122005e-06}",241208.93188322015
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_10', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.28381966338070175,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.3685931646674308e-14, 'Interest_Rate_Lag_10': 3.663179743714099e-26, 'Interest_Rate_Pct_Change_Lag_1': 0.0019199053049722705, 'Interest_Rate_Pct_Change_Lag_5': 0.0020794802882682, 'Interest_Rate_Pct_Change_Lag_10': 3.510540216568028e-06, 'Interest_Rate_Pct_Change_Lag_20': 1.3594631698890623e-06}",241219.8877333642
Close,"('Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.2834153107271685,"{'const': 0.0, 'Interest_Rate_Lag_20': 0.0, 'Interest_Rate_Pct_Change_Lag_1': 1.2209151979043673e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.3625362788518893e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.4338511917468652e-06}",241224.1217376283
